condition,protocol,trial,stream_id,completion_ms,spread_ms
baseline,quic,8,8,52.20883300353307,5.77695899119135
baseline,quic,8,4,55.791040998883545,5.77695899119135
baseline,quic,8,12,55.92337499547284,5.77695899119135
baseline,quic,9,0,52.8432499995688,2.4649590050103143
baseline,quic,9,8,53.021083993371576,2.4649590050103143
baseline,quic,9,4,55.16249999345746,2.4649590050103143
baseline,quic,9,12,55.30820900457911,2.4649590050103143
baseline,quic,10,0,53.71374999231193,4.782083007739857
baseline,quic,10,8,55.755416993633844,4.782083007739857
baseline,quic,10,4,55.91850000200793,4.782083007739857
baseline,quic,10,12,58.49583300005179,4.782083007739857
baseline,quic,11,0,54.057999994256534,6.793833003030159
baseline,quic,11,8,54.22158299188595,6.793833003030159
baseline,quic,11,4,60.70491598802619,6.793833003030159
baseline,quic,11,12,60.85183299728669,6.793833003030159
baseline,quic,12,0,84.07662500394508,4.198374997940846
baseline,quic,12,8,84.29320799768902,4.198374997940846
baseline,quic,12,4,85.76937500038184,4.198374997940846
baseline,quic,12,12,88.27500000188593,4.198374997940846
baseline,quic,13,0,67.78883399965707,2.8925000078743324
baseline,quic,13,8,68.08116700267419,2.8925000078743324
baseline,quic,13,4,69.5678339980077,2.8925000078743324
baseline,quic,13,12,70.6813340075314,2.8925000078743324
baseline,quic,14,0,48.590749996947125,6.082708001486026
baseline,quic,14,8,49.578249992919154,6.082708001486026
baseline,quic,14,4,53.596124998875894,6.082708001486026
baseline,quic,14,12,54.67345799843315,6.082708001486026
baseline,quic,15,0,51.54837500595022,8.358915991266258
baseline,quic,15,8,51.70229100622237,8.358915991266258
baseline,quic,15,4,57.66649999713991,8.358915991266258
baseline,quic,15,12,59.90729099721648,8.358915991266258
baseline,quic,16,0,102.53112499776762,8.313833008287475
baseline,quic,16,8,102.61787500348873,8.313833008287475
baseline,quic,16,4,106.46729099971708,8.313833008287475
baseline,quic,16,12,110.8449580060551,8.313833008287475
baseline,quic,17,0,49.661625002045184,7.2059160011122
baseline,quic,17,8,49.888374996953644,7.2059160011122
baseline,quic,17,4,54.71395800122991,7.2059160011122
baseline,quic,17,12,56.867541003157385,7.2059160011122
baseline,quic,18,0,61.59362499602139,2.0340000046417117
baseline,quic,18,8,61.82066700421274,2.0340000046417117
baseline,quic,18,4,63.404166998225264,2.0340000046417117
baseline,quic,18,12,63.6276250006631,2.0340000046417117
baseline,quic,19,0,50.39250000845641,3.0733329913346097
baseline,quic,19,8,50.53720800788142,3.0733329913346097
baseline,quic,19,4,53.31091700645629,3.0733329913346097
baseline,quic,19,12,53.46583299979102,3.0733329913346097
baseline,quic,20,0,50.4123749997234,4.525957992882468
baseline,quic,20,8,52.58362500171643,4.525957992882468
baseline,quic,20,4,54.74675000004936,4.525957992882468
baseline,quic,20,12,54.938332992605865,4.525957992882468
